流水號,課      程      名      稱,"必選
修別","全/半
學年","半學年
學分數","上課
時數",上    課    時    間,,,,,,,"使  用
教  室","授  課
教  師",備          註
,,,,,,一,二,三,四,五,六,日,,,
9701,農園產品智慧冷鏈物流實務,選,,2.0,2.0,,,,,,,,AR  115,"梁佑慎
鍾興穎",學程:精準健康產業跨領域人才培育      【四技生修讀】授課時間6/23-6/28每天09:00-16:00(農學院)
9702,精準農園在高齡產業之發展,選,,2.0,2.0,,,,,,,,AR  115,鍾興穎,"遠距教學  學程:精準健康產業跨領域人才培育      【四技
生修讀】授課時間8/25-8/30每天09:00-16:00(農學院)"
9703,農產品國際行銷管理,選,,2.0,2.0,,,,,,,,AR  115,陳灯能,"遠距教學  學程:精準健康產業跨領域人才培育      【四技
生修讀】授課時間8/4-8/9每天09:00-16:00(農學院)"
9704,"精準農業及生技產業創業理
論與應用",選,,2.0,2.0,,,,,,,,AR  115,徐睿良,遠距教學  學程:精準健康產業跨領域人才培育      【四技生修讀】授課時間9/1-9/6每天09:00-16:00(農學院)
9705,國際行銷與跨域創業,選,,2.0,2.0,,,,,,,,AR  114,劉展冏,"遠距教學  學程:精準健康產業跨領域人才培育      【四技
生修讀】授課時間06/30-07/04(農學院)"
9706,"國際食品產業智能化發展實
務",選,,2.0,2.0,,,,,,,,AR  114,劉展冏,遠距教學  學程:精準健康產業跨領域人才培育      【四技生修讀】授課時間08/11-08/16(農學院)
9707,精準營養與高齡健康促進,選,,2.0,2.0,,,,,,,,AR  102,劉展冏,"學程:精準健康產業跨領域人才培育      【四技生修讀】授
課時間08/18-08/23(農學院)"
9708,人工智能在食品工業之應用,選,,2.0,2.0,,,,,,,,AR  114,詹國靖,"學程:精準健康產業跨領域人才培育      【四技生修讀】授
課時間08/25-08/29(農學院)"
9709,人工智慧與AR/VR開發應用,選,,2.0,2.0,,,,,,,,AR  114,鄭博元,"學程:精準健康產業跨領域人才培育      【四技生修讀】授
課時間09/01-09/05(農學院)"
9710,"食品安全管制系統
(HACCP)基礎訓練",選,,2.0,2.0,,,,,,,,AR  102,羅之綱,學程:精準健康產業跨領域人才培育      【四技生修讀】授課時間08/02-08/03、08/09-08/11(農學院)
9711,飲食產業與健康促進,選,,2.0,2.0,,,,,,,,AR  102,羅之綱,"學程:精準健康產業跨領域人才培育      【四技生修讀】授
課時間07/28-08/01(農學院)"
9712,"可可產業夥伴關係建構及交
流",選,,1.0,1.0,,,,,,,,,蘇曼農,學程:可可產業大學社會責任實踐跨域微學程      【四技生修讀】(農學院)
